"Step","acgan - discriminator loss","acgan - generator loss"
"0","2.72444486618042","1.5065504312515259"
"1","2.373267412185669","1.1818469762802124"
"2","2.265850067138672","1.1106928586959839"
"3","2.2676799297332764","1.0943138599395752"
"4","2.261287212371826","1.0895605087280273"
"5","2.254772186279297","1.088197112083435"
"6","2.251800775527954","1.0867794752120972"
"7","2.2489235401153564","1.0863043069839478"
"8","2.248896360397339","1.0836777687072754"
"9","2.2467000484466553","1.0821735858917236"
"10","2.245421886444092","1.0822845697402954"
"11","2.2441117763519287","1.0810835361480713"
"12","2.242979049682617","1.0800034999847412"
"13","2.240828037261963","1.0799756050109863"
"14","2.239408254623413","1.0797885656356812"
"15","2.237736463546753","1.0792593955993652"
"16","2.2360999584198","1.079448938369751"
"17","2.2346038818359375","1.0787709951400757"
"18","2.234008550643921","1.0789707899093628"
"19","2.2330877780914307","1.0791908502578735"
