step,generator,discriminator
1,1.4765478372573853,2.736532688140869
2,1.1465903520584106,2.3237955570220947
3,1.1060870885849,2.2684755325317383
4,1.0948697328567505,2.266425132751465
5,1.0924899578094482,2.2581398487091064
6,1.0897163152694702,2.2530014514923096
7,1.087600588798523,2.2490689754486084
8,1.0860515832901,2.246645450592041
9,1.0846836566925049,2.245882034301758
10,1.0820618867874146,2.2454144954681396
11,1.0812546014785767,2.2455828189849854
12,1.0807452201843262,2.243715763092041
13,1.0796029567718506,2.242751359939575
14,1.0802534818649292,2.240546464920044
15,1.0795003175735474,2.2400500774383545
16,1.0788264274597168,2.238811731338501
17,1.078544020652771,2.2374331951141357
18,1.0786391496658325,2.2360782623291016
19,1.078870415687561,2.234172821044922
20,1.0784305334091187,2.2339046001434326
